en,ko
Alolan Persian GX,알로라 페르시온 GX
Alolan Raichu,알로라 라이츄
Alolan Raichu ex,알로라 라이츄 ex
Alolan Raticate,알로라 레트라
Alolan Raticate GX,알로라 레트라 GX
Alolan Rattata,알로라 꼬렛
Alolan Sandshrew,알로라 모래두지
Alolan Sandslash,알로라 고지
Alolan Sandslash GX,알로라 고지 GX
Alolan Vulpix,알로라 식스테일
Alolan Vulpix V,알로라 식스테일 V
Alolan Vulpix VSTAR,알로라 식스테일 VSTAR
Alomomola,맘복치
Altaria,파비코리
Altaria C,파비코리 C
Altaria ex,파비코리 ex
Altaria EX,파비코리 EX
Altaria ex δ,파비코리 ex δ
Altaria GX,파비코리 GX
Altaria-GX,파비코리-GX
Amaura,아마루스
Ambipom,겟핸보숭
Ambipom G,겟핸보숭 G
Amoonguss,뽀록나
Amoonguss ex,뽀록나 ex
Ampharos,전룡
Ampharos ex,전룡 ex
Ampharos EX,전룡 EX
Ampharos GX,전룡 GX
Ampharos V,전룡 V
Ampharos δ,전룡 δ
Ancient Mew,고대 뮤
Annihilape,저승갓숭
Annihilape ex,저승갓숭 ex
Anorith,아노딥스
Anorith δ,아노딥스 δ
Appletun,단지래플
Appletun V,단지래플 V
Applin,과사삭벌레
Aqua Bullet,Aqua Bullet
Araquanid,깨비물거미
Arbok,아보크
Arbok ex,아보크 ex
Arbok δ,아보크 δ
Arboliva,올리르바
Arboliva ex,올리르바 ex
Arcanine,윈디
Arcanine BREAK,윈디 BREAK
Arcanine ex,윈디 ex
Arcanine G,윈디 G
Arceus,아르세우스
Arceus & Dialga & Palkia GX,아르세우스 & 디아루가 & 펄기아 GX
Arceus ◇,아르세우스 ◇
Arceus ex,아르세우스 ex
Arceus LV.X,아르세우스 LV.X
Arceus V,아르세우스 V
Arceus VSTAR,아르세우스 VSTAR
Archaludon,브리두라스
Archaludon ex,브리두라스 ex
Archen,아켄
Archeops,아케오스
Arctibax,드니꽁
Arctovish,어치르돈
Arctovish V,어치르돈 V
Arctozolt,파치르돈
Ariados,아리아도스
Armaldo,아말도
Armaldo ex,아말도 ex
Armaldo δ,아말도 δ
Armarouge,카디나르마
Armarouge ex,카디나르마 ex
Armored Mewtwo,아머드 뮤츠
Aromatisse,프레프티르
Aron,가보리
Arrokuda,찌로꼬치
Articuno,프리져
Articuno ex,프리져 ex
Articuno GX,프리져 GX
Articuno-EX,프리져-EX
Articuno-GX,프리져-GX
Arven's Greedent,페퍼의 요씽리스
Arven's Mabosstiff ex,페퍼의 마피티프 ex
Arven's Maschiff,페퍼의 오라티프
Arven's Skwovet,페퍼의 탐리스
Arven's Toedscool,페퍼의 들눈해
Arven's Toedscruel,페퍼의 육파리
Ash Greninja EX,지우개굴닌자 EX
Ash's Pikachu,지우의 피카츄
Audino,다부니
Audino EX,다부니 EX
Aurorus,아마루르가
Aurorus EX,아마루르가 EX
Avalugg,크레베이스
Axew,터검니
Azelf,아그놈
Azumarill,마릴리
Azumarill ex,마릴리 ex
Azumarill δ,마릴리 δ
Azurill,루리리
Bagon,아공이
Bagon δ,아공이 δ
Baltoy,오뚝군
Banette,다크펫
Banette ex,다크펫 ex
Banette GX,다크펫 GX
Banette-GX,다크펫-GX
Barbaracle,거북손데스
Barboach,미꾸리
Barraskewda,꼬치조
Basculin,배쓰나이
Bastiodon,바리톱스
Bastiodon GL,바리톱스 GL
Baxcalibur,드닐레이브
Bayleef,베이리프
Bayleef δ,베이리프 δ
Beartic,툰베어
Beautifly,뷰티플라이
Beedrill,독침붕
Beedrill ex,독침붕 ex
Beedrill EX,독침붕 EX
Beedrill G,독침붕 G
Beedrill V,독침붕 V
Beedrill δ,독침붕 δ
Beheeyem,벰크
Beheeyem BREAK,벰크 BREAK
Beldum,메탕
Beldum δ,메탕 δ
Bellibolt,찌리배리
Bellibolt ex,찌리배리 ex
Bellossom,아르코
Bellossom δ,아르코 δ
Bellsprout,모다피
Bergmite,꽁어름
Bewear,이븐곰
Bewear GX,이븐곰 GX
Bibarel,비버통
Bibarel ex,비버통 ex
Bidoof,비버니
Binacle,거북손손
Bisharp,절각참
Blacephalon,두파팡
Blacephalon ex,두파팡 ex
Blacephalon GX,두파팡 GX
Black Kyurem,블랙 큐레무
Black Kyurem ex,블랙 큐레무 ex
Black Kyurem-EX,블랙 큐레무-EX
Blaine's Arcanine,강연의 윈디
Blaine's Charizard,강연의 리자몽
Blaine's Charmander,강연의 파이리
Blaine's Charmeleon,강연의 리자드
Blaine's Dodrio,강연의 두트리오
Blaine's Doduo,강연의 두두
Blaine's Growlithe,강연의 가디
Blaine's Kangaskhan,강연의 캥카
Blaine's Magmar,강연의 마그마
Blaine's Mankey,강연의 망키
Blaine's Moltres,강연의 파이어
Blaine's Ninetales,강연의 나인테일
Blaine's Ponyta,강연의 포니타
Blaine's Rapidash,강연의 날쌩마
Blaine's Rhyhorn,강연의 뿔카노
Blaine's Tauros,강연의 켄타로스
Blaine's Vulpix,강연의 식스테일
Blastoise,거북왕
Blastoise & Piplup GX,거북왕 & 팽도리 GX
Blastoise ex,거북왕 ex
Blastoise EX,거북왕 EX
Blastoise GX,거북왕 GX
Blastoise V,거북왕 V
Blastoise VMAX,거북왕 VMAX
Blastoise δ,거북왕 δ
Blaziken,번치코
Blaziken ex,번치코 ex
Blaziken EX,번치코 EX
Blaziken FB,번치코 FB
Blaziken FB LV.X,번치코 FB LV.X
Blaziken GX,번치코 GX
Blaziken V,번치코 V
Blaziken VMAX,번치코 VMAX
Blipbug,두루지벌레
Blissey,해피너스
Blissey ex,해피너스 ex
Blissey V,해피너스 V
Blitzle,줄뮤마
Bloodmoon Ursaluna,다투곰 붉은 달
Bloodmoon Ursaluna ex,다투곰 붉은 달 ex
Boldore,암트르
Boltund,펄스멍
Boltund V,펄스멍 V
Boltund VMAX,펄스멍 VMAX
Bombirdier,떨구새
Bombirdier ex,떨구새 ex
Bonsly,꼬지지
Bouffalant,버프론
Bouffalant ex,버프론 ex
Bounsweet,달콤아
Braixen,테르나
Brambleghast,공푸리
Bramblin,그푸리
Braviary,워글
Breloom,버섯모
Breloom V,버섯모 V
Brionne,키요공
Brock's Diglett,웅의 디그다
Brock's Dugtrio,웅의 닥트리오
Brock's Geodude,웅의 꼬마돌
Brock's Golbat,웅의 골뱃
Brock's Golem,웅의 딱구리
Brock's Graveler,웅의 데구리
Brock's Lickitung,웅의 내루미
Brock's Mankey,웅의 망키
Brock's Ninetales,웅의 나인테일
Brock's Onix,웅의 롱스톤
Brock's Primeape,웅의 성원숭
Brock's Rhydon,웅의 코뿌리
Brock's Rhyhorn,웅의 뿔카노
Brock's Sandshrew,웅의 모래두지
Brock's Sandslash,웅의 고지
Brock's Vulpix,웅의 식스테일
Brock's Zubat,웅의 주뱃
Bronzong,동탁군
Bronzong BREAK,동탁군 BREAK
Bronzong E4,동탁군 E4
Bronzong G,동탁군 G
Bronzor,동미러
Brute Bonnet,사나운버섯
Bruxish,치갈기
Budew,꼬몽울
Buizel,브이젤
Bulbasaur,이상해씨
Buneary,이어롤
Bunnelby,파르빗
Buried Fossil,Buried Fossil
Burmy,도롱충이
Burmy Plant Cloak,도롱충이(초목도롱)
Burmy Sandy Cloak,도롱충이(모래도롱)
Burmy Trash Cloak,도롱충이(슈뢰도롱)
Butterfree,버터플
Butterfree FB,버터플 FB
Butterfree V,버터플 V
Butterfree VMAX,버터플 VMAX
Buzzwole,매시붕
Buzzwole ex,매시붕 ex
Buzzwole GX,매시붕 GX
Buzzwole-GX,매시붕-GX
Cacnea,선인왕
Cacturne,밤선인
Cacturne ex,밤선인 ex
Cacturne δ,밤선인 δ
Calyrex,버드렉스
Camerupt,폭타
Camerupt ex,폭타 ex
Camerupt EX,폭타 EX
Camerupt G,폭타 G
Capsakid,캡싸이
Carbink,멜리시
Carbink BREAK,멜리시 BREAK
Carkol,탄차곤
Carnivine,무스틈니
Carnivine G,무스틈니 G
Carracosta,늑골라
Carracosta GX,늑골라 GX
Carvanha,샤프니아
Carvanha δ,샤프니아 δ
Cascoon,카스쿤
Castform,캐스퐁
Castform Rain Form,캐스퐁 빗방울의 모습
Castform Rainy Form,캐스퐁 밧방울의 모습
Castform Snow-cloud Form,캐스퐁 설운의 모습
Castform Snowy Form,캐스퐁 설운의 모습
Castform Sunny Form,캐스퐁 태양의 모습
Caterpie,캐터피
Celebi,세레비
Celebi & Venusaur GX,세레비 & 이상해꽃 GX
Celebi ◇,세레비 ◇
Celebi ☆,세레비 ☆
Celebi ex,세레비 ex
Celebi V,세레비 V
Celebi VMAX,세레비 VMAX
Celebi-EX,세레비-EX
Celesteela,철화구야
Celesteela GX,철화구야 GX
Centiskorch,다태우지네
Centiskorch V,다태우지네 V
Centiskorch VMAX,다태우지네 VMAX
Ceruledge,파라블레이즈
Ceruledge ex,파라블레이즈 ex
Cetitan,우락고래
Cetitan ex,우락고래 ex
Cetoddle,터벅고래
Chandelure,샹델라
Chandelure V,샹델라 V
Chandelure VMAX,샹델라 VMAX
Chandelure-EX,샹델라-EX
Chansey,럭키
Chansey ex,럭키 ex
Charcadet,카르본
Charge Beam,Charge Beam
Charizard,리자몽
Charizard & Braixen GX,리자몽 & 테르나 GX
Charizard ☆ δ,리자몽 ☆ δ
Charizard ex,리자몽 ex
Charizard EX,리자몽 EX
Charizard G,리자몽 G
Charizard G LV.X,리자몽 G LV.X
Charizard GX,리자몽 GX
Charizard V,리자몽 V
Charizard VMAX,리자몽 VMAX
Charizard VSTAR,리자몽 VSTAR
Charizard δ,리자몽 δ
Charizard-GX,리자몽-GX
Charjabug,전지충이
Charmander,파이리
Charmander δ,파이리 δ
Charmeleon,리자드
Charmeleon δ,리자드 δ
Chatot,페라페
Chatot G,페라페 G
Cherrim,체리꼬
Cherubi,체리버
Chesnaught,브리가론
Chesnaught BREAK,브리가론 BREAK
Chesnaught EX,브리가론 EX
Chesnaught V,브리가론 V
Chespin,도치마론
Chewtle,깨물부기
Chi-Yu,위유이
Chi-Yu ex,위유이 ex
Chien-Pao,파오젠
Chien-Pao ex,파오젠 ex
Chikorita,치코리타
Chikorita δ,치코리타 δ
Chimchar,불꽃숭이
Chimecho,치렁
Chimecho δ,치렁 δ
Chinchou,초라기
Chingling,랑딸랑
Cinccino,치라치노
Cinccino ex,치라치노 ex
Cinderace,에이스번
Cinderace ex,에이스번 ex
Cinderace V,에이스번 V
Cinderace VMAX,에이스번 VMAX
Clamperl,진주몽
Clauncher,완철포
Clawitzer,블로스터
Clawitzer BREAK,블로스터 BREAK
Claydol,점토도리
Claydol ex,점토도리 ex
Clefable,픽시
Clefable ex,픽시 ex
Clefairy,삐삐
Cleffa,삐
Clobbopus,때때무노
Cloyster,파르셀
Cloyster δ,파르셀 δ
Coalossal,석탄산
Coalossal V,석탄산 V
Coalossal VMAX,석탄산 VMAX
Cobalion,코바르온
Cobalion ex,코바르온 ex
Cobalion GX,코바르온 GX
Cobalion-EX,코바르온-EX
Cofagrigus,데스니칸
Cofagrigus ex,데스니칸 ex
Collect,Collect
Combee,세꿀버리
Combusken,영치코
Comfey,큐아링
Conkeldurr,노보청
Conkeldurr V,노보청 V
Controlled Burn,Controlled Burn
Cool Porygon,쿨 폴리곤
Copperajah,대왕끼리동
Copperajah ex,대왕끼리동 ex
Copperajah V,대왕끼리동 V
Copperajah VMAX,대왕끼리동 VMAX
Corkscrew Punch,Corkscrew Punch
Cornerstone Mask Ogerpon,오거폰 주춧돌의 가면
Cornerstone Mask Ogerpon ex,오거폰 주춧돌의 가면 ex
Corphish,가재군
Corsola,코산호
Corviknight,아머까오
Corviknight V,아머까오 V
Corviknight VMAX,아머까오 VMAX
Corvisquire,파크로우
Cosmoem,코스모움
Cosmog,코스모그
Cottonee,소미안
Crabominable,모단단게
Crabominable ex,모단단게 ex
Crabominable V,모단단게 V
Crabrawler,오기지게
Cradily,릴리요
Cradily ex,릴리요 ex
Cradily δ,릴리요 δ
Cramorant,윽우지
Cramorant V,윽우지 V
Cramorant VMAX,윽우지 VMAX
Cranidos,두개도스
Crawdaunt,가재장군
Crawdaunt ex,가재장군 ex
Crawdaunt G,가재장군 G
Cresselia,크레세리아
Cresselia ex,크레세리아 ex
Cresselia-EX,크레세리아-EX
Croagunk,삐딱구리
Crobat,크로뱃
Crobat BREAK,크로뱃 BREAK
Crobat ex,크로뱃 ex
Crobat G,크로뱃 G
Crobat V,크로뱃 V
Crobat VMAX,크로뱃 VMAX
Crobat δ,크로뱃 δ
Crocalor,악뜨거
Croconaw,엘리게이
Croconaw δ,엘리게이 δ
Crustle,암팰리스
Cryogonal,프리지오
Cubchoo,코고미
Cubone,탕구리
Cufant,끼리동
Cutiefly,에블리
Cyclizar,모토마
Cyclizar ex,모토마 ex
Cyndaquil,브케인
Cyndaquil δ,브케인 δ
Cynthia's Feebas,난천의 빈티나
Cynthia's Gabite,난천의 한바이트
Cynthia's Garchomp ex,난천의 한카리아스 ex
Cynthia's Gible,난천의 딥상어동
Cynthia's Milotic,난천의 밀로틱
Cynthia's Roselia,난천의 로젤리아
Cynthia's Roserade,난천의 로즈레이드
Cynthia's Spiritomb,난천의 화강돌
Dachsbun,바우첼
Dachsbun ex,바우첼 ex
Dark Alakazam,다크 후딘
Dark Ampharos,다크 전룡
Dark Arbok,다크 아보크
Dark Ariados,다크 아리아도스
Dark Blastoise,다크 거북왕
Dark Celebi,다크 세레비
Dark Charizard,다크 리자몽
Dark Charmeleon,다크 리자드
Dark Crobat,다크 크로뱃
Dark Croconaw,다크 엘리게이
Dark Donphan,다크 코리갑
Dark Dragonair,다크 신뇽
Dark Dragonite,다크 망나뇽
Dark Dugtrio,다크 닥트리오
Dark Electrode,다크 붐볼
Dark Espeon,다크 에브이
Dark Exeggutor,다크 나시
Dark Feraligatr,다크 장크로다일
Dark Flaaffy,다크 보송송
Dark Flareon,다크 부스터
Dark Forretress,다크 쏘콘
Dark Gengar,다크 팬텀
Dark Gloom,다크 냄새꼬
Dark Golbat,다크 골뱃
Dark Golduck,다크 골덕
Dark Gyarados,다크 갸라도스
Dark Haunter,다크 고우스트
Dark Houndoom,다크 헬가
Dark Hypno,다크 슬리퍼
Dark Ivysaur,다크 이상해풀
Dark Jolteon,다크 쥬피썬더
Dark Kadabra,다크 윤겔라
Dark Machamp,다크 괴력몬
Dark Machoke,다크 근육몬
Dark Magcargo,다크 마그카르고
Dark Magneton,다크 레어코일
Dark Marowak,다크 텅구리
Dark Muk,다크 질뻐기
Dark Octillery,다크 대포무노
Dark Omanyte,다크 암나이트
Dark Omastar,다크 암스타
Dark Persian,다크 페르시온
Dark Porygon2,다크 폴리곤2
Dark Primeape,다크 성원숭
Dark Pupitar,다크 데기라스
Dark Quilava,다크 마그케인
Dark Raichu,다크 라이츄
Dark Rapidash,다크 날쌩마
Dark Raticate,다크 레트라
Dark Sandslash,다크 고지
Dark Scizor,다크 핫삼
Dark Slowbro,다크 야도란
Dark Slowking,다크 야도킹
Dark Steelix,다크 강철톤
Dark Sylveon V,다크 님피아 V
Dark Typhlosion,다크 블레이범
Dark Tyranitar,다크 마기라스
Dark Ursaring,다크 링곰
Dark Vaporeon,다크 샤미드
Dark Venusaur,다크 이상해꽃
Dark Vileplume,다크 라플레시아
Dark Wartortle,다크 어니부기
Dark Weezing,다크 또도가스
Dark Wigglytuff,다크 푸크린
Darkrai,다크라이
Darkrai & Cresselia LEGEND,다크라이 & 크레세리아 LEGEND
Darkrai ◇,다크라이 ◇
Darkrai ex,다크라이 ex
Darkrai EX,다크라이 EX
Darkrai G,다크라이 G
Darkrai GX,다크라이 GX
Darkrai V,다크라이 V
Darkrai VSTAR,다크라이 VSTAR
Darkrai-EX,다크라이-EX
Darkrai-GX,다크라이-GX
Darmanitan,불비달마
Dartrix,빼미스로우
Darumaka,달막화
Dawn Wings Necrozma,새벽의 날개 네크로즈마
Dawn Wings Necrozma GX,새벽의 날개 네크로즈마 GX
Decidueye,모크나이퍼
Decidueye ex,모크나이퍼 ex
Decidueye GX,모크나이퍼 GX
Decidueye-GX,모크나이퍼-GX
Dedenne,데덴네
Dedenne ex,데덴네 ex
Dedenne GX,데덴네 GX
Deerling,사철록
Deino,모노두
Delcatty,델케티
Delcatty ex,델케티 ex
Delibird,딜리버드
Delphox,마폭시
Delphox BREAK,마폭시 BREAK
Delphox EX,마폭시 EX
Delphox V,마폭시 V
Deoxys,테오키스
Deoxys Attack Forme,테오키스 어택폼
Deoxys Defense Forme,테오키스 디펜스폼
Deoxys ex,테오키스 ex
Deoxys Normal Forme,테오키스 노말폼
Deoxys Speed Forme,테오키스 스피드폼
Deoxys V,테오키스 V
Deoxys VMAX,테오키스 VMAX
Deoxys VSTAR,테오키스 VSTAR
Deoxys δ,테오키스 δ
Deoxys-EX,테오키스-EX
Detective Pikachu,명탐정 피카츄
Dewgong,쥬레곤
Dewgong δ,쥬레곤 δ
Dewott,쌍검자비
Dewpider,물거미
Dhelmise,타타륜
Dhelmise ex,타타륜 ex
Dhelmise V,타타륜 V
Dhelmise VMAX,타타륜 VMAX
Dialga,디아루가
Dialga ex,디아루가 ex
Dialga EX,디아루가 EX
Dialga G,디아루가 G
Dialga G LV.X,디아루가 G LV.X
Dialga GX,디아루가 GX
Dialga-EX,디아루가-EX
Diancie,디안시
Diancie ◇,디안시 ◇
Diancie EX,디안시 EX
Diggersby,파르토
Diglett,디그다
Dipplin,과미르
Ditto,메타몽
Ditto ◇,메타몽 ◇
Ditto V,메타몽 V
Ditto VMAX,메타몽 VMAX
Dodrio,두트리오
Dodrio V,두트리오 V
Doduo,두두
Dolliv,올리뇨
Dondozo,어써러셔
Dondozo ex,어써러셔 ex
Donphan,코리갑
Donphan ex,코리갑 ex
Dottler,레돔벌레
Doublade,쌍검킬
Double Slap,Double Slap
Dracovish,어래곤
Dracovish V,어래곤 V
Dracozolt,파치래곤
Dracozolt V,파치래곤 V
Dracozolt VMAX,파치래곤 VMAX
Dragalge,드래캄
Dragalge ex,드래캄 ex
Dragapult,드래펄트
Dragapult ex,드래펄트 ex
Dragapult V,드래펄트 V
Dragapult VMAX,드래펄트 VMAX
Dragonair,신뇽
Dragonair δ,신뇽 δ
Dragonite,망나뇽
Dragonite ex,망나뇽 ex
Dragonite EX,망나뇽 EX
Dragonite ex δ,망나뇽 ex δ
Dragonite FB,망나뇽 FB
Dragonite GX,망나뇽 GX
Dragonite V,망나뇽 V
Dragonite VSTAR,망나뇽 VSTAR
Dragonite δ,망나뇽 δ
Drakloak,드래런치
Drampa,할비롱
Drampa GX,할비롱 GX
Drampa V,할비롱 V
Drampa-GX,할비롱-GX
Drapion,드래피온
Drapion E4,드래피온 E4
Drapion LV.X,드래피온 LV.X
Drapion V,드래피온 V
Drapion VSTAR,드래피온 VSTAR
Dratini,미뇽
Dratini δ,미뇽 δ
Drednaw,갈가부기
Drednaw V,갈가부기 V
Drednaw VMAX,갈가부기 VMAX
Dreepy,드라꼰
Drifblim,둥실라이드
Drifblim FB,둥실라이드 FB
Drifloon,흔들풍손
Drilbur,두더류
Drizzile,누겔레온
Drowzee,슬리프
Druddigon,크리만
Dual Chop,Dual Chop
Dubwool,배우르
Dubwool V,배우르 V
Ducklett,꼬지보리
Dudunsparce,노고고치
Dudunsparce ex,노고고치 ex
Dugtrio,닥트리오
Dunsparce,노고치
Duosion,듀란
Duraludon,두랄루돈
Duraludon V,두랄루돈 V
Duraludon VMAX,두랄루돈 VMAX
Durant,아이앤트
Durant ex,아이앤트 ex
Dusclops,미라몽
Dusclops ex,미라몽 ex
Dusk Mane Necrozma,황혼의 갈기 네크로즈마
Dusk Mane Necrozma GX,황혼의 갈기 네크로즈마 GX
Dusknoir,야느와르몽
Dusknoir FB,야느와르몽 FB
Duskull,해골몽
Dustox,독케일
Dustox ex,독케일 ex
Dwebble,돌살이
Eelektrik,저리릴
Eelektross,저리더프
Eevee,이브이
Eevee & Snorlax GX,이브이 & 잠만보 GX
Eevee ex,이브이 ex
Eevee GX,이브이 GX
Eevee on the Ball,이브이 온 더 볼
Eevee V,이브이 V
Eevee VMAX,이브이 VMAX
Eevee δ,이브이 δ
Eiscue,빙큐보
Eiscue ex,빙큐보 ex
Eiscue V,빙큐보 V
Ekans,아보
Ekans δ,아보 δ
Eldegoss,백솜모카
Eldegoss V,백솜모카 V
Electabuzz,에레브
Electabuzz ex,에레브 ex
Electabuzz δ,에레브 δ
Electivire,에레키블
Electivire ex,에레키블 ex
Electivire FB,에레키블 FB
Electivire FB LV.X,에레키블 FB LV.X
Electrike,썬더라이
Electrode,붐볼
Electrode ex,붐볼 ex
Electrode G,붐볼 G
Electrode GX,붐볼 GX
Electrode-GX,붐볼-GX
Elekid,에레키드
Elekid δ,에레키드 δ
Elgyem,리그레
Ember,Ember
Emboar,염무왕
Emboar EX,염무왕 EX
Emolga,에몽가
Emolga EX,에몽가 EX
Empoleon,엠페르트
Empoleon BREAK,엠페르트 BREAK
Empoleon ex,엠페르트 ex
Empoleon FB,엠페르트 FB
Empoleon V,엠페르트 V
Enamorus,러브로스
Enamorus V,러브로스 V
Entei,앤테이
Entei & Raikou LEGEND,앤테이 & 라이코 LEGEND
Entei ☆,앤테이 ☆
Entei ex,앤테이 ex
Entei GX,앤테이 GX
Entei V,앤테이 V
Entei-EX,앤테이-EX
Erika's Bellsprout,민화의 모다피
Erika's Bulbasaur,민화의 이상해씨
Erika's Clefable,민화의 픽시
Erika's Clefairy,민화의 삐삐
Erika's Dragonair,민화의 신뇽
Erika's Dratini,민화의 미뇽
Erika's Exeggcute,민화의 아라리
Erika's Exeggutor,민화의 나시
Erika's Gloom,민화의 냄새꼬
Erika's Ivysaur,민화의 이상해풀
Erika's Jigglypuff,민화의 푸린
Erika's Oddish,민화의 뚜벅쵸
Erika's Paras,민화의 파라스
Erika's Tangela,민화의 덩쿠리
Erika's Venusaur,민화의 이상해꽃
Erika's Victreebel,민화의 우츠보트
Erika's Vileplume,민화의 라플레시아
Erika's Weepinbell,민화의 우츠동
Escavalier,슈바르고
Espathra,클레스퍼트라
Espathra ex,클레스퍼트라 ex
Espeon,에브이
Espeon & Deoxys GX,에브이 & 테오키스 GX
Espeon ★,에브이 ★
Espeon E4,에브이 E4
Espeon ex,에브이 ex
Espeon EX,에브이 EX
Espeon GX,에브이 GX
Espeon V,에브이 V
Espeon VMAX,에브이 VMAX
Espeon δ,에브이 δ
Espeon-GX,에브이-GX
Espurr,냐스퍼
Eternatus,무한다이노
Eternatus V,무한다이노 V
Eternatus VMAX,무한다이노 VMAX
Ethan's Cyndaquil,심향의 브케인
Ethan's Ho-Oh ex,심향의 칠색조 ex
Ethan's Magcargo,심향의 마그카르고
Ethan's Pichu,심향의 피츄
Ethan's Pinsir,심향의 쁘사이저
Ethan's Quilava,심향의 마그케인
Ethan's Slugma,심향의 마그마그
Ethan's Sudowoodo,심향의 꼬지모
Ethan's Typhlosion,심향의 블레이범
Excadrill,몰드류
Excadrill ex,몰드류 ex
Excadrill-EX,몰드류-EX
Exeggcute,아라리
Exeggcute δ,아라리 δ
Exeggutor,나시
Exeggutor ex,나시 ex
Exeggutor δ,나시 δ
Exploud,폭음룡
Exploud ex,폭음룡 ex
Falinks,대여르
Falinks V,대여르 V
Fan Rotom,스핀로토무
Farfetch'd,파오리
Farfetch’d,파오리
Farigiraf,키키링
Farigiraf ex,키키링 ex
Fearow,깨비드릴조
Fearow δ,깨비드릴조 δ
Feebas,빈티나
Feebas δ,빈티나 δ
Fennekin,푸호꼬
Feraligatr,장크로다일
Feraligatr ex,장크로다일 ex
Feraligatr δ,장크로다일 δ
Ferroseed,철시드
Ferrothorn,너트령
Fezandipiti,기로치
Fezandipiti ex,기로치 ex
Fidough,쫀도기
Finizen,맨돌핀
Finneon,형광어
Flaaffy,보송송
Flaaffy δ,보송송 δ
Flabébé,플라베베
Flamigo,꼬이밍고
Flamigo ex,꼬이밍고 ex
Flapple,애프룡
Flapple V,애프룡 V
Flapple VMAX,애프룡 VMAX
Flareon,부스터
Flareon ☆,부스터 ☆
Flareon E4,부스터 E4
Flareon ex,부스터 ex
Flareon EX,부스터 EX
Flareon GX,부스터 GX
Flareon V,부스터 V
Flareon VMAX,부스터 VMAX
Flareon δ,부스터 δ
Fletchinder,불화살빈
Fletchling,화살꼬빈
Flittle,하느라기
Floatzel,플로젤
Floatzel GL,플로젤 GL
Floatzel GL LV.X,플로젤 GL LV.X
Floette,플라엣테
Floragato,나로테
Florges,플라제스
Florges BREAK,플라제스 BREAK
Florges EX,플라제스 EX
Flutter Mane,날개치는머리
Flygon,플라이곤
Flygon ex,플라이곤 ex
Flygon EX,플라이곤 EX
Flygon ex δ,플라이곤 ex δ
Flygon GX,플라이곤 GX
Flygon LV.X,플라이곤 LV.X
Flygon V,플라이곤 V
Flygon δ,플라이곤 δ
Flying Pikachu,공중날기 피카츄
Flying Pikachu V,공중날기 피카츄 V
Flying Pikachu VMAX,공중날기 피카츄 VMAX
Fomantis,짜랑랑
Foongus,깜놀버슬
Forretress,쏘콘
Forretress ex,쏘콘 ex
Forretress G,쏘콘 G
Fraxure,액슨도
Frigibax,드니차
Frillish,탱그릴
Froakie,개구마르
Frogadier,개굴반장
Froslass,눈여아
Froslass ex,눈여아 ex
Froslass GL,눈여아 GL
Frosmoth,모스노우
Frost Rotom,프로스트로토무
Fuecoco,뜨아거
Furfrou,트리미앙
Furret,다꼬리
Gabite,한바이트
Galarian Articuno,가라르 프리져
Galarian Articuno V,가라르 프리져 V
Galarian Corsola,가라르 코산호
Galarian Cursola,가라르 산호르곤
Galarian Cursola V,가라르 산호르곤 V
